candidate,n_estimators,max_depth,min_samples_leaf,min_samples_split,class_weight,train_f1_canceled,validation_f1_canceled,absolute_gap,passes_under_5_percent_rule,validation_precision_canceled,validation_recall_canceled,validation_roc_auc
rf_depth18_leaf6_split12,200,18,6,12,balanced_subsample,0.845,0.8104939994418086,0.03450600055819142,True,0.8066666666666666,0.8143578238923164,0.9390729333566523
rf_depth20_leaf8_split16,200,20,8,16,balanced_subsample,0.8393310878685812,0.8092324805339266,0.030098607334654637,True,0.8025372311086597,0.8160403813796971,0.9369654829700259
rf_depth16_leaf6_split12,200,16,6,12,balanced_subsample,0.8364285714285714,0.8077030421434552,0.02872552928511618,True,0.8038888888888889,0.8115535614133483,0.9373220128703308
rf_depth16_leaf8_split24,200,16,8,24,balanced_subsample,0.826955074875208,0.806577480490524,0.020377594384684006,True,0.8016620498614958,0.8115535614133483,0.9339258586415659
rf_depth16_leaf8_split16_300,300,16,8,16,balanced_subsample,0.8280118694362018,0.8051224944320713,0.022889375004130463,True,0.7993366500829188,0.8109927089175547,0.935219620732505
rf_depth18_leaf8_split16,200,18,8,16,balanced_subsample,0.8343587316611453,0.804661487236404,0.02969724442474131,True,0.7962657880285557,0.8132361189007291,0.9364164330547669
rf_depth16_leaf8_split16,200,16,8,16,balanced_subsample,0.8284459218805651,0.8042328042328042,0.024213117647760907,True,0.7986725663716814,0.8098710039259674,0.9346576186347113
rf_depth16_leaf8_split16_balanced,200,16,8,16,balanced,0.827708493409776,0.8039922373163294,0.02371625609344663,True,0.7949561403508771,0.8132361189007291,0.9344539858004226
rf_depth16_leaf10_split20,200,16,10,20,balanced_subsample,0.8235713437091601,0.8011126564673157,0.02245868724184441,True,0.7947019867549668,0.807627593942793,0.9325050272095466
rf_depth14_leaf8_split16,300,14,8,16,balanced_subsample,0.8204426463588768,0.7982137873290539,0.022228859029822856,True,0.7944444444444444,0.802019068984857,0.9324125992087366
rf_depth14_leaf12_split24,200,14,12,24,balanced_subsample,0.813847158719791,0.7952142459654981,0.018632912754292907,True,0.7890668139149641,0.8014582164890633,0.928735635531408
rf_depth12_leaf12_split24,200,12,12,24,balanced_subsample,0.8058499615134112,0.7870753935376967,0.018774567975714418,True,0.7752992383025027,0.7992148065058889,0.9253157995014405
